matrix_index	method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log	submit_min_us	submit_max_us	submit_avg_us	submit_p50_us	submit_p90_us	copy_min_us	copy_max_us	copy_avg_us	copy_p50_us	copy_p90_us	start_skew_min_us	start_skew_max_us	start_skew_p50_us	start_skew_p90_us	group_wall_min_us	group_wall_max_us	group_wall_p50_us	group_wall_p90_us	log_dev_bw_gbps	log_wall_bw_gbps
28	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	4	round-robin	stream	barrier	off	512	128	0		0	1951	44.048	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s4_round_robin_stream.log	1207	1653	1415	1417	1496						0	0	0	0	1915	2043	1951	1969		44.048
29	ce	all	all_host_to_all_device_ce_multi_stream	1	4	round-robin	event	barrier	off	512	128	0	12.819	0	8174	10.514	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_round_robin_event.log	2032	2566	2412	2416	2485	5843	7260	6704	6733	6985	0	0	0	0	7140	9791	8111	8776	12.819	10.514
30	ce	all	all_host_to_all_device_ce_multi_stream	1	4	round-robin	stream	barrier	off	512	128	0		0	7273	11.816	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s4_round_robin_stream.log	1446	1856	1560	1560	1594						0	0	0	0	5983	8115	7308	7789		11.816
31	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	round-robin	event	barrier	off	512	128	0	36.461	0	2625	32.738	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_round_robin_event.log	2079	2510	2323	2324	2440	2124	2548	2357	2360	2474	0	0	0	0	2236	4159	2525	3232	36.461	32.738
32	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	4	round-robin	stream	barrier	off	512	128	0		0	1896	45.326	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s4_round_robin_stream.log	1355	2259	1690	1650	1938						0	0	0	0	1816	2301	1857	2079		45.326
33	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	stream-major	event	barrier	off	512	128	0	8.562	0	12325	6.973	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_stream_major_event.log	2100	2959	2566	2572	2825	8199	12993	10037	9243	12529	0	0	0	0	8522	17811	11287	16291	8.562	6.973
34	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	stream-major	stream	barrier	off	512	128	0		0	14226	6.041	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_stream_major_stream.log	1643	2113	1773	1728	1977						0	0	0	0	9331	101840	13719	14305		6.041
35	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	stream-major	event	barrier	off	512	128	0	49.503	0	1958	43.89	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_stream_major_event.log	1221	1437	1317	1315	1388	1678	1789	1736	1739	1764	0	0	0	0	1773	4522	1824	2335	49.503	43.89
36	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	stream-major	stream	barrier	off	512	128	0		0	1787	48.09	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_stream_major_stream.log	1102	1291	1179	1183	1245						0	0	0	0	1740	1829	1787	1818		48.09
37	ce	all	all_host_to_all_device_ce_multi_stream	1	16	stream-major	event	barrier	off	512	128	0	13.886	0	7369	11.662	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_stream_major_event.log	1537	1880	1743	1758	1830	4931	7111	6189	6213	6844	0	0	0	0	5061	9031	7142	8472	13.886	11.662
38	ce	all	all_host_to_all_device_ce_multi_stream	1	16	stream-major	stream	barrier	off	512	128	0		0	8080	10.636	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d1_s16_stream_major_stream.log	1564	1745	1665	1671	1702						0	0	0	0	6048	102043	7360	7608		10.636
39	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	stream-major	event	barrier	off	512	128	0	48.171	0	2495	34.444	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_stream_major_event.log	1464	1903	1692	1677	1826	1699	1947	1784	1758	1868	0	0	0	0	1892	4923	2232	3164	48.171	34.444
40	ffts	all	all_host_to_all_device_ffts_direct_h2d	1	16	stream-major	stream	barrier	off	512	128	0		0	1731	49.646	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d1_s16_stream_major_stream.log	1172	1314	1223	1223	1255						0	0	0	0	1695	1765	1730	1749		49.646
41	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	round-robin	event	barrier	off	512	128	0	9.827	0	10863	7.911	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_round_robin_event.log	2006	2916	2678	2726	2863	7654	12328	8745	8475	10754	0	0	0	0	8355	18286	10561	12740	9.827	7.911
42	ce	one_share	one_share_host_to_all_device_ce_multi_stream	1	16	round-robin	stream	barrier	off	512	128	0		0	10568	8.132	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d1_s16_round_robin_stream.log	1610	1825	1727	1729	1781						0	0	0	0	8043	104643	9372	12236		8.132
43	ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	1	16	round-robin	event	barrier	off	512	128	0	52.21	0	1951	44.048	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d1_s16_round_robin_event.log	1367	1959	1563	1551	1686	1553	2002	1646	1625	1736	0	0	0	0	1677	3639	1868	2213	52.21	44.048
