method	host_mode	case_name	devices	streams	submit_mode	stream_sync	process_sync	stream_start_gate	blocks	iterations	exit_code	dev_bw_gbps	start_skew_avg_us	group_wall_avg_us	wall_bw_gbps	log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	stream-major	event	barrier	off	512	128	0	179.833	1	4193	163.964	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	stream-major	stream	barrier	off	512	128	0	N/A	1	5272	130.406	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	round-robin	event	barrier	off	512	128	0	16.977	1	40706	16.889	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	1	round-robin	stream	barrier	off	512	128	0	N/A	1	41142	16.710	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s1_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	round-robin	event	barrier	off	512	128	0	83.082	1	8677	79.232	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	1	round-robin	stream	barrier	off	512	128	0	N/A	1	8222	83.617	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s1_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	8	1	round-robin	event	barrier	off	512	128	0	38.676	1	17905	38.397	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	8	1	round-robin	stream	barrier	off	512	128	0	N/A	1	17870	38.472	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s1_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	round-robin	event	barrier	off	512	128	0	152.778	1	4691	146.557	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	1	round-robin	stream	barrier	off	512	128	0	N/A	1	4190	164.081	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s1_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	stream-major	event	barrier	off	512	128	0	36.733	1	25531	26.928	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	stream-major	stream	barrier	off	512	128	0	N/A	1	25958	26.485	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	stream-major	event	barrier	off	512	128	0	103.197	1	7229	95.103	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	stream-major	stream	barrier	off	512	128	0	N/A	1	6731	102.139	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	8	4	stream-major	event	barrier	off	512	128	0	81.787	1	11030	62.330	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	8	4	stream-major	stream	barrier	off	512	128	0	N/A	1	16121	42.646	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	stream-major	event	barrier	off	512	128	0	196.429	1	3768	182.458	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	stream-major	stream	barrier	off	512	128	0	N/A	1	3886	176.917	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	round-robin	event	barrier	off	512	128	0	37.902	1	25306	27.167	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	4	round-robin	stream	barrier	off	512	128	0	N/A	1	23359	29.432	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s4_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	round-robin	event	barrier	off	512	128	0	105.203	1	7939	86.598	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	4	round-robin	stream	barrier	off	512	128	0	N/A	1	6616	103.915	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s4_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	8	4	round-robin	event	barrier	off	512	128	0	83.678	1	12089	56.870	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	8	4	round-robin	stream	barrier	off	512	128	0	N/A	1	16637	41.324	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s4_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	round-robin	event	barrier	off	512	128	0	158.447	1	4723	145.564	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	4	round-robin	stream	barrier	off	512	128	0	N/A	1	4299	159.921	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s4_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	stream-major	event	barrier	off	512	128	0	46.008	1	23969	28.683	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	stream-major	stream	barrier	off	512	128	0	N/A	1	22871	30.060	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	stream-major	event	barrier	off	512	128	0	105.026	1	10089	68.144	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	stream-major	stream	barrier	off	512	128	0	N/A	1	6628	103.727	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	8	16	stream-major	event	barrier	off	512	128	0	92.331	1	14547	47.261	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	8	16	stream-major	stream	barrier	off	512	128	0	N/A	1	11072	62.094	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	stream-major	event	barrier	off	512	128	0	196.766	1	9121	75.376	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	stream-major	stream	barrier	off	512	128	0	N/A	1	3537	194.374	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	round-robin	event	barrier	off	512	128	0	53.336	1	21748	31.612	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	8	16	round-robin	stream	barrier	off	512	128	0	N/A	1	22967	29.934	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d8_s16_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	round-robin	event	barrier	off	512	128	0	105.396	1	13381	51.379	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	8	16	round-robin	stream	barrier	off	512	128	0	N/A	1	6650	103.383	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d8_s16_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	8	16	round-robin	event	barrier	off	512	128	0	90.117	1	15679	43.848	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	8	16	round-robin	stream	barrier	off	512	128	0	N/A	1	9773	70.347	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d8_s16_round_robin_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	round-robin	event	barrier	off	512	128	0	161.234	1	8857	77.622	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_round_robin_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	8	16	round-robin	stream	barrier	off	512	128	0	N/A	1	4390	156.606	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d8_s16_round_robin_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	stream-major	event	barrier	off	512	128	0	31.050	1	44565	30.854	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_stream_major_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	stream-major	stream	barrier	off	512	128	0	N/A	1	52955	25.965	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_stream_major_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	stream-major	event	barrier	off	512	128	0	104.962	1	14144	97.214	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_stream_major_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	stream-major	stream	barrier	off	512	128	0	N/A	1	13220	104.009	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_stream_major_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	16	1	stream-major	event	barrier	off	512	128	0	64.210	1	21585	63.702	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_stream_major_event.log
ce	all	all_host_to_all_device_ce_multi_stream	16	1	stream-major	stream	barrier	off	512	128	0	N/A	1	31320	43.902	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_stream_major_stream.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	stream-major	event	barrier	off	512	128	0	248.734	1	5935	231.676	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_stream_major_event.log
ffts	all	all_host_to_all_device_ffts_direct_h2d	16	1	stream-major	stream	barrier	off	512	128	0	N/A	1	6512	211.149	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_all_d16_s1_stream_major_stream.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	round-robin	event	barrier	off	512	128	0	35.122	1	39327	34.963	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_round_robin_event.log
ce	one_share	one_share_host_to_all_device_ce_multi_stream	16	1	round-robin	stream	barrier	off	512	128	0	N/A	1	56310	24.418	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_one_share_d16_s1_round_robin_stream.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	round-robin	event	barrier	off	512	128	0	105.138	1	14131	97.304	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_round_robin_event.log
ffts	one_share	one_share_host_to_all_device_ffts_direct_h2d	16	1	round-robin	stream	barrier	off	512	128	0	N/A	1	13234	103.899	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ffts_one_share_d16_s1_round_robin_stream.log
ce	all	all_host_to_all_device_ce_multi_stream	16	1	round-robin	event	barrier	off	512	128	0	67.514	1	20529	66.978	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_round_robin_event.log
ce	all	all_host_to_all_device_ce_multi_stream	16	1	round-robin	stream	barrier	off	512	128	0	N/A	1	24536	56.040	/workspace/dev-sandbox/logs/glm512_144_matrix/20260831_160033/ce_all_d16_s1_round_robin_stream.log
